TIME,Italy,France,Mean wage of Italy,Mean wage of France,What would you earn in France with the power purchasing of Italy,What would you earn in Italy with the power purchasing of France
2000,1.02839,1.09843,22182.0,27418.0,23692.74,25669.73
2001,1.04527,1.07734,22640.0,28185.0,23334.62,27346.0
2002,1.0664,1.07562,23113.0,28847.0,23312.83,28599.73
2003,1.06781,1.11141,23723.0,29608.0,24691.64,28446.49
2004,1.08193,1.12675,24450.0,30521.0,25462.86,29306.93
2005,1.08029,1.10418,25241.0,31369.0,25799.19,30690.3
2006,1.07116,1.11184,25805.0,32412.999999999996,26785.01,31227.07
2007,1.06033,1.11167,26845.0,33580.0,28144.81,32029.18
2008,1.03872,1.12085,27419.0,34132.0,29586.98,31630.99
2009,1.04945,1.12661,28243.0,34693.0,30319.54,32316.92
2010,1.02434,1.1209,28872.0,35489.0,31593.64,32431.8
2011,1.03516,1.11821,29440.0,36143.0,31801.95,33458.64
2012,1.04439,1.12283,29983.0,36616.0,32234.9,34058.04
2013,1.05264,1.10117,30347.0,37235.0,31746.09,35594.0
2014,1.06858,1.10473,30550.0,37975.0,31583.5,36732.35
2015,1.06724,1.10582,30619.0,37875.0,31725.86,36553.61
2016,1.05309,1.10242,30696.0,38052.0,32133.9,36349.29
2017,1.04721,1.10622,30962.0,38646.0,32706.7,36584.47
2018,1.04404,1.10956,31369.0,39107.0,33337.6,36797.71
2019,1.02965,1.09653,32216.0,37660.0,34308.56,35363.03
2020,1.02502,1.08808,32029.000000000004,39429.0,33999.45,37143.88
2021,1.01594,1.08096,33855.0,41540.0,36021.71,39041.36
